transaction,address,bedroom,living_room,bathroom,sales_price,rent_perMonth,rent_perWeek,description,propertyType,location,agent,listing_source,listing_url,listed_date,id
sales,"Bronson Road, Raynes Park",2.0,,1.0,785000.0,,,2 bedroom terraced house for sale,,Park,NaN,omt,https://www.onthemarket.com/details/13229071/,2023-05-19,"sales2.01.0785000.0nanBronson Road, Raynes Park"
rent,"Park Mansions, London, SW8",3.0,,1.0,,,,"£2850 Per calendar Month, 3 Minute walk to Tube / Rail Station (Zone 1) Beautiful 3 Bedroom Vauxhall Flat with 1 WC. All within 20 metres of lush and spacious Vauxhall Park. Please note: From the... ** Property Reference: 1695487 **",,SW8,"OpenRent, London",rightmove,https://www.rightmove.co.uk/properties/134355104#/?channel=RES_LET,2023-05-19 00:00:00,"rent3.01.0nan2050.0Park Mansions, London, SW8"
sales,"South Street, London",5.0,,6.0,35000000.0,,,"An elegant stone-dressed, red-brick, five-storey grade II listed mansion house. Double-fronted Edwardian facade with arts & crafts style detailing and french-inspired fine iron railings. Home to politicians and celebrities.",,London,"Wetherell, Mayfair",rightmove,https://www.rightmove.co.uk/properties/128150369#/?channel=RES_BUY,2022-10-18 00:00:00,"sales5.06.035000000.0nanSouth Street, London"
rent,"Elmhurst Road, Enfield, London, Enfield EN3",1.0,,1.0,,,,1 bedroom flat to rent,,EN3,NaN,omt,https://www.onthemarket.com/details/13215647/,< 7 days,"rent1.01.0nan2496.0Elmhurst Road, Enfield, London, Enfield EN3"
rent,"Hill Rise, Upminster, Essex RM14",3.0,,,,,,This 3 bedroom semi detached Bungalow is located within a short walk of Upminster Bridge District Line station and is in excellent condition ...,,RM14,Stoneshaw Estates,zoopla,https://www.zoopla.co.uk/to-rent/details/35145914/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,2023-05-19 00:00:00,"rent3.0nannan2000.0Hill Rise, Upminster, Essex RM14"
sales,"Plough Way, London SE16",1.0,1.0,1.0,430000.0,,,An excellent opportunity to acquire this spacious first floor apartment that combines a luxurious interior with practical convenience and is part ...,,SE16,Winkworth - Surrey Quays,zoopla,https://www.zoopla.co.uk/for-sale/details/64672616/?search_identifier=e2f52ecac4296f7263ce1d9f3bd364400246cf2a24ee664b466896f27c160137,2023-05-19 00:00:00,"sales1.01.0430000.0nanPlough Way, London SE16"
sales,"Marylebone High Street, London, W1U",3.0,,3.0,27000000.0,,,The most eagerly awaited residential development to be formed in Marylebone over recent decades. Nestled in the absolute epicentre of Marylebone Village only a stone's throw from the much-lauded and admired Marylebone High Street Quarter.,,W1U,"Luxury Living Homes International, London",rightmove,https://www.rightmove.co.uk/properties/132097715#/?channel=RES_BUY,2023-02-28 00:00:00,"sales3.03.027000000.0nanMarylebone High Street, London, W1U"
sales,"Westcliffe Apartments, 1 South Wharf Road, London W2",3.0,,,1700000.0,,,A well proportioned three bedroom apartment located on the second floor of this popular modern development. Including a secure underground parking ...,,W2,Hamptons - Hyde Park & Bayswater Sales,zoopla,https://www.zoopla.co.uk/for-sale/details/64672923/?search_identifier=e2f52ecac4296f7263ce1d9f3bd364400246cf2a24ee664b466896f27c160137,2023-05-19 00:00:00,"sales3.0nan1700000.0nanWestcliffe Apartments, 1 South Wharf Road, London W2"
sales,"Rochester Row, London SW1P",2.0,1.0,2.0,1125000.0,,,"Rare to the market. A fantastic opportunity to buy a spacious and bright two double bedroom, 2 bathroom flat situated at the rear of a small and ...",,SW1P,Carter Jonas - Mayfair & St James's,zoopla,https://www.zoopla.co.uk/for-sale/details/61738753/?search_identifier=e2f52ecac4296f7263ce1d9f3bd364400246cf2a24ee664b466896f27c160137,2023-05-19 00:00:00,"sales2.02.01125000.0nanRochester Row, London SW1P"
rent,"Golders Way, London, NW11",1.0,,1.0,,,,"Simply stunning. A fabulous one bedroom modernised apartment ideally situated in the heart of Golders Green. Close to shops and tube. Benefits include fully furnished, designer interior, study area, convenient location and available immediately. Council Tax Band: B Deposit: £...",,NW11,"Ellis & Co, Golders Green",rightmove,https://www.rightmove.co.uk/properties/134896484#/?channel=RES_LET,2023-05-17 00:00:00,"rent1.01.0nan1911.0Golders Way, London, NW11"
sales,"Salford Road, London SW2",1.0,1.0,1.0,375000.0,,,This lovely top floor Victorian conversion apartment is located in the sought-after Telford Park conservation area off Streatham Hill and has easy ...,,SW2,Winkworth - Streatham,zoopla,https://www.zoopla.co.uk/for-sale/details/64672628/?search_identifier=e2f52ecac4296f7263ce1d9f3bd364400246cf2a24ee664b466896f27c160137,2023-05-19 00:00:00,"sales1.01.0375000.0nanSalford Road, London SW2"
sales,Culross House,5.0,,6.0,26950000.0,,,"A newly constructed Mayfair Mansion, designed by K10 Group, of 8,060 sq ft, situated in an enviable location just off Park Lane.",,House,"London House, London",rightmove,https://www.rightmove.co.uk/properties/132612542#/?channel=RES_BUY,2023-03-15 00:00:00,sales5.06.026950000.0nanCulross House
sales,"Conduit Mews, London W2",4.0,1.0,4.0,3500000.0,,,"A substantial family house located on a charming cobbled mews that offers four bedrooms with great proportions over three floors, outside space ...",,W2,John D Wood & Co. - Notting Hill Sales,zoopla,https://www.zoopla.co.uk/for-sale/details/64672849/?search_identifier=e2f52ecac4296f7263ce1d9f3bd364400246cf2a24ee664b466896f27c160137,2023-05-19 00:00:00,"sales4.04.03500000.0nanConduit Mews, London W2"
rent,"Charles Clowes Walk, London SW11",2.0,,2.0,,,,2 bedroom apartment to rent,,SW11,NaN,omt,https://www.onthemarket.com/details/13231695/,2023-05-19,"rent2.02.0nan5417.0Charles Clowes Walk, London SW11"
rent,"Farm View Court, Bawdsey Avenue, Ilford, Essex IG2",1.0,,1.0,,,,"This excellent 1 bedroom ground floor flat is available now and comes with a newly fitted kitchen and bathroom, new gas central heating, double ...",,IG2,Stoneshaw Estates,zoopla,https://www.zoopla.co.uk/to-rent/details/64672871/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,2023-05-19 00:00:00,"rent1.01.0nan1100.0Farm View Court, Bawdsey Avenue, Ilford, Essex IG2"
sales,"Balham High Road, Balham",1.0,,1.0,465000.0,,,1 bedroom flat for sale,,Balham,NaN,omt,https://www.onthemarket.com/details/13229229/,2023-05-19,"sales1.01.0465000.0nanBalham High Road, Balham"
rent,"Marsh Wall, London E14",1.0,,1.0,,,,1 bedroom flat to rent,,E14,NaN,omt,https://www.onthemarket.com/details/13231703/,2023-05-19,"rent1.01.0nan1100.0Marsh Wall, London E14"
rent,"Augustus Road, London SW19",,,,,,,Luxurious and stylishly studio apartments within a private gated delopment teaming with resident amenity spaces: Â€¢ A spectacular residents' ...,,SW19,John D Wood & Co. - Southfields Lettings,zoopla,https://www.zoopla.co.uk/to-rent/details/64672822/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,2023-05-19 00:00:00,"rentnannannan1466.0Augustus Road, London SW19"
rent,"BEAUTIFUL DOUBLE ROOM | SINGLE FEMALE | STUDENT FRIENDLY, London E18",1.0,,1.0,,,,1 bedroom in a flat share to rent,,E18,NaN,omt,https://www.onthemarket.com/details/13214760/,< 7 days,"rent1.01.0nan3987.0BEAUTIFUL DOUBLE ROOM | SINGLE FEMALE | STUDENT FRIENDLY, London E18"
rent,"Bushey Down, London, SW12",3.0,,2.0,,,,"Spacious, recently decorated three bedroom house in Balham with a new kitchen and appliances. Perfect for sharers as it has three similar bedrooms, the third of which has its own en suite shower.... ** Property Reference: 1709792 **",,SW12,"OpenRent, London",rightmove,https://www.rightmove.co.uk/properties/135043361#/?channel=RES_LET,2023-05-19 00:00:00,"rent3.02.0nan5500.0Bushey Down, London, SW12"
sales,"Sarsfield Road, Perivale, Greenford UB6",3.0,2.0,1.0,600000.0,,,"A superb property situated in a sought-after area that would make the ideal home for any family. With a stunning open-plan living room/kitchen, a ...",,UB6,Strike,zoopla,https://www.zoopla.co.uk/for-sale/details/64672707/?search_identifier=e2f52ecac4296f7263ce1d9f3bd364400246cf2a24ee664b466896f27c160137,2023-05-19 00:00:00,"sales3.01.0600000.0nanSarsfield Road, Perivale, Greenford UB6"
rent,"Hogarth Road , Kensington , Kensington Chelsea SW5",1.0,,1.0,,,,1 bedroom flat to rent,,SW5,NaN,omt,https://www.onthemarket.com/details/8560268/,< 7 days,"rent1.01.0nan1600.0Hogarth Road , Kensington , Kensington Chelsea SW5"
sales,"Malvern Road, London NW6",1.0,,1.0,495000.0,,,1 bedroom flat for sale,,NW6,NaN,omt,https://www.onthemarket.com/details/13221646/,2023-05-18,"sales1.01.0495000.0nanMalvern Road, London NW6"
rent,"Augustus Road, London SW19",,,,,,,Luxurious and stylishly studio apartments within a private gated delopment teaming with resident amenity spaces: Â€¢ A spectacular residents' ...,,SW19,John D Wood & Co. - Southfields Lettings,zoopla,https://www.zoopla.co.uk/to-rent/details/64672823/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,2023-05-19 00:00:00,"rentnannannan1500.0Augustus Road, London SW19"
sales,"Felden Street, London, SW6 5AE",4.0,,3.0,2499950.0,,,"A beautiful family home situated on a highly sought after residential street close to Fulham Road. This wonderful property has four double bedrooms, ample entertaining space and a lovely garden to the rear.",,5AE,"Maison, Covering Kent / Surrey",rightmove,https://www.rightmove.co.uk/properties/132447401#/?channel=RES_BUY,2023-03-22 00:00:00,"sales4.03.02499950.0nanFelden Street, London, SW6 5AE"
rent,"Pepper Street, Isle Of Dogs, London E14",2.0,,,,,,"JS Estate Management are proud to present this newly-refurbished 2 Bed, 2 bath in an enviable location of E14 Docklands. This Property has just ...",,E14,JS Estate Management,zoopla,https://www.zoopla.co.uk/to-rent/details/58703154/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,2023-05-19 00:00:00,"rent2.0nannan1950.0Pepper Street, Isle Of Dogs, London E14"
sales,Wembley Park,1.0,,1.0,250000.0,,,1 bedroom flat for sale,,Park,NaN,omt,https://www.onthemarket.com/details/13227906/,2023-05-19,sales1.01.0250000.0nanWembley Park
sales,"Hanover Terrace, Regents Park, London, NW1",6.0,,8.0,29000000.0,,,"United Kingdom Sotheby’s International Realty are pleased to present this six bedroom home situated in Regents Park, London, An Ambassadorial Grade l Listed family home with spectacular views facing onto the swan and boating lake within Regents Park, this property was designed by...",,NW1,"'s International Realty, London",rightmove,https://www.rightmove.co.uk/properties/119281460#/?channel=RES_BUY,2022-01-28 00:00:00,"sales6.08.029000000.0nanHanover Terrace, Regents Park, London, NW1"
rent,"York Road, London, E10",5.0,,2.0,,,,"We are proud to offer this delightful 5 bedroom, 2 bathroom terraced house in a great location. Available to move in from 19 May 2023. Property is offered furnished. Viewing highly recommended.... ** Property Reference: 1683489 **",,E10,"OpenRent, London",rightmove,https://www.rightmove.co.uk/properties/133806272#/?channel=RES_LET,2023-05-19 00:00:00,"rent5.02.0nan5417.0York Road, London, E10"
sales,"Acre Lane, Brixton",2.0,,1.0,600000.0,,,2 bedroom flat for sale,,Brixton,NaN,omt,https://www.onthemarket.com/details/13228830/,2023-05-19,"sales2.01.0600000.0nanAcre Lane, Brixton"
rent,"Essex Road, Islington N1",3.0,1.0,1.0,,,,"This superbly located three double bedroom split level apartment is moments from Angel underground station and the fantastic selection of shops, ...",,N1,Charles Henry Peppiatt Ltd,zoopla,https://www.zoopla.co.uk/to-rent/details/64672857/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,2023-05-19 00:00:00,"rent3.01.0nan3250.0Essex Road, Islington N1"
sales,"Tramway Avenue, London N9",2.0,,1.0,375000.0,,,2 bedroom terraced house for sale,,N9,NaN,omt,https://www.onthemarket.com/details/13229075/,2023-05-19,"sales2.01.0375000.0nanTramway Avenue, London N9"
sales,"Princes Gate, Knightsbridge, SW7",7.0,,5.0,30000000.0,,,7 Bedroom house in one of Knightsbridge's most exclusive streets,,SW7,"Nest Seekers International, London",rightmove,https://www.rightmove.co.uk/properties/130713020#/?channel=RES_BUY,2023-01-13 00:00:00,"sales7.05.030000000.0nanPrinces Gate, Knightsbridge, SW7"
sales,"Roan Street, London SE10",2.0,1.0,2.0,750000.0,,,"Guide Price £750,000-£775,000. We are delighted to offer this larger than average two bedroom period house that is beautifully presented to a high ...",,SE10,Winkworth - Greenwich,zoopla,https://www.zoopla.co.uk/for-sale/details/64672594/?search_identifier=e2f52ecac4296f7263ce1d9f3bd364400246cf2a24ee664b466896f27c160137,2023-05-19 00:00:00,"sales2.02.0750000.0nanRoan Street, London SE10"
rent,"Mayday Road, Thornton Heath CR7",2.0,,1.0,,,,2 bedroom flat to rent,,CR7,NaN,omt,https://www.onthemarket.com/details/13231798/,2023-05-19,"rent2.01.0nan2100.0Mayday Road, Thornton Heath CR7"
rent,"Browning Way, Hounslow TW5",,,1.0,,,,Studio to rent,,TW5,NaN,omt,https://www.onthemarket.com/details/13215123/,< 7 days,"rentnan1.0nan750.0Browning Way, Hounslow TW5"
sales,"Merton Lane, London, N6",6.0,,7.0,32000000.0,,,"United Kingdom Sotheby’s International Realty are pleased to present this exceptional six bedroom contemporary mansion in Highgate. Located on a sought-after road in the heart of Highgate and occupying a two-acre site, the bespoke family home with accommodation predominantly arra...",,N6,"'s International Realty, London",rightmove,https://www.rightmove.co.uk/properties/83624538#/?channel=RES_BUY,2023-02-21 00:00:00,"sales6.07.032000000.0nanMerton Lane, London, N6"
rent,"Manor Farm Drive, Chingford, E4",4.0,,3.0,,,,"This absolutely stunning high spec four bedroom, three bathroom family house is newly refurbished throughout with modern quality fixtures and fittings throughout. This hugely impressive property has a fully open plan and very spacious ground floor which includes a stunning designer fitte...",,E4,"Charles Henry Peppiatt Ltd, Southgate",rightmove,https://www.rightmove.co.uk/properties/134312843#/?channel=RES_LET,2023-05-19 00:00:00,"rent4.03.0nan3987.0Manor Farm Drive, Chingford, E4"
sales,"Piccadilly, Mayfair, London, W1J",,,,35000000.0,,,"A rare opportunity to regenerate an impressive period building with development potential and residential planning permission in place. 139 Piccadilly is a Grade II listed building arranged over six floors, dating back to the mid-18th century. This grand, former townhouse offers over 14,000 sq f...",,W1J,"Knight Frank, Mayfair",rightmove,https://www.rightmove.co.uk/properties/134089559#/?channel=RES_BUY,2023-04-25 00:00:00,"salesnannan35000000.0nanPiccadilly, Mayfair, London, W1J"
rent,"Cambridge Rd, Kingston Upon Thames, London KT1",1.0,,1.0,,,,Material Information Council Tax Band :C,,KT1,B & K Estates,zoopla,https://www.zoopla.co.uk/to-rent/details/64672914/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,2023-05-19 00:00:00,"rent1.01.0nan1600.0Cambridge Rd, Kingston Upon Thames, London KT1"
rent,"Flat 2, Refectory Apartments, 3 Lawrence Yard, London, N15",2.0,,1.0,,,,"Ellis & Co are delighted to offer on the market this bright & airy first floor, 2 bedroom modern apartment.",,N15,"Ellis & Co, Tottenham",rightmove,https://www.rightmove.co.uk/properties/135045284#/?channel=RES_LET,2023-05-19 00:00:00,"rent2.01.0nan1500.0Flat 2, Refectory Apartments, 3 Lawrence Yard, London, N15"
sales,"Elmwood Road, Herne Hill",2.0,,1.0,625000.0,,,2 bedroom flat for sale,,Hill,NaN,omt,https://www.onthemarket.com/details/13228044/,2023-05-19,"sales2.01.0625000.0nanElmwood Road, Herne Hill"
sales,"Royal Westminster, London",7.0,,5.0,35000000.0,,,"A very rare find this luxurious circa 11000 SQF house in the heart of Westminster. Features 7 bedroom suites 5 reception rooms Gym Lift Swimming pool, jacuzzi Terrace with stunning views of Houses of Parliament For more information get in touch.",,London,"Luxury Living Homes International, London",rightmove,https://www.rightmove.co.uk/properties/134449994#/?channel=RES_BUY,2023-04-05 00:00:00,"sales7.05.035000000.0nanRoyal Westminster, London"
rent,"Mount View Road, London N4",,,1.0,,,,Studio to rent,,N4,NaN,omt,https://www.onthemarket.com/details/13231685/,2023-05-19,"rentnan1.0nan1437.0Mount View Road, London N4"
rent,"Albert Road, St. Mary Cray BR5",3.0,,1.0,,,,3 bedroom flat to rent,,BR5,NaN,omt,https://www.onthemarket.com/details/13231796/,2023-05-19,"rent3.01.0nan1800.0Albert Road, St. Mary Cray BR5"
sales,"Rydal Crescent, Perivale, Greenford UB6",3.0,2.0,2.0,600000.0,,,"Brian Cox and Company are delighted to bring to the market this chain free, three bedroom, end of terrace, family home in Perivale. The property ...",,UB6,Brian Cox - Greenford & Perivale,zoopla,https://www.zoopla.co.uk/for-sale/details/64672346/?search_identifier=e2f52ecac4296f7263ce1d9f3bd364400246cf2a24ee664b466896f27c160137,2023-05-19 00:00:00,"sales3.02.0600000.0nanRydal Crescent, Perivale, Greenford UB6"
sales,"Hampden Road, London N8",5.0,2.0,2.0,1250000.0,,,"This substantial Five Bedroom Victorian Family house sits proudly on Hampden Road, one of the many sought after streets that make up the Harringay ...",,N8,Winkworth - Harringay,zoopla,https://www.zoopla.co.uk/for-sale/details/64672420/?search_identifier=e2f52ecac4296f7263ce1d9f3bd364400246cf2a24ee664b466896f27c160137,2023-05-19 00:00:00,"sales5.02.01250000.0nanHampden Road, London N8"
rent,"Chalklands, Wembley HA9",1.0,,1.0,,,,1 bedroom flat to rent,,HA9,Home World Management - London,omt,https://www.onthemarket.com/details/13215915/,< 7 days,"rent1.01.0nan1500.0Chalklands, Wembley HA9"
rent,"The Henson Building, Oval Road, Camden NW1",1.0,1.0,1.0,,,,A beautifully finished one double bedroom apartment located in the desirable canal side development The Henson building,,NW1,Primden Group,zoopla,https://www.zoopla.co.uk/to-rent/details/64672892/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,2023-05-19 00:00:00,"rent1.01.0nan2500.0The Henson Building, Oval Road, Camden NW1"
