transaction,address,bedroom,living_room,bathroom,sales_price,rent_perMonth,rent_perWeek,description,propertyType,location,agent,listing_source,listing_url,listed_date,id
rent,"Rainham Road South, Dagenham RM10",2.0,,1.0,,,,"This spacious 2 double bedroom 2nd floor flat is available from June and comes with separate modern fitted kitchen, modern bathroom, spacious ...",,RM10,Stoneshaw Estates,zoopla,https://www.zoopla.co.uk/to-rent/details/54467836/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,2023-05-19 00:00:00,"rent2.01.0nan1300.0Rainham Road South, Dagenham RM10"
sales,"Thornbury Road, Brixton",1.0,,1.0,375000.0,,,1 bedroom flat for sale,,Brixton,NaN,omt,https://www.onthemarket.com/details/13228193/,2023-05-19,"sales1.01.0375000.0nanThornbury Road, Brixton"
sales,"Culross Street, Mayfair, London, W1K",6.0,,6.0,26950000.0,,,"An outstanding 6 bedroom freehold house by K10 Group, with swimming pool and entertainment room, for sale in Mayfair W1K. A newly constructed Mayfair house, a project by K10 Group, of 8,060 sq ft, is situated in an enviable location just off Park Lane. Finished to a high specification, with luxu...",,W1K,"Knight Frank, Mayfair",rightmove,https://www.rightmove.co.uk/properties/85469181#/?channel=RES_BUY,2022-11-10 00:00:00,"sales6.06.026950000.0nanCulross Street, Mayfair, London, W1K"
rent,"Sevington Road, London NW4",5.0,,2.0,,,,5 bedroom semi-detached house to rent,,NW4,NaN,omt,https://www.onthemarket.com/details/13214440/,< 7 days,"rent5.02.0nan1950.0Sevington Road, London NW4"
sales,"Brick Street, Mayfair W1J",7.0,,7.0,35000000.0,,,"A truly exeptional low- built 7 bedroom mansion, with private gated drive-in courtyard tucked away in the heart of Mayfair. Offering over 12,960 sq ft of unique lateral luxury living.",,W1J,"Rokstone, London",rightmove,https://www.rightmove.co.uk/properties/131929205#/?channel=RES_BUY,2023-02-22 00:00:00,"sales7.07.035000000.0nanBrick Street, Mayfair W1J"
rent,"Essex Road, Islington, N1",3.0,,1.0,,,,"This superbly located three double bedroom split level apartment is moments from Angel underground station and the fantastic selection of shops, bars and restaurants along Upper Street. It is light and airy and has an open plan reception room, modern kitchen and wood floors. Ideally sui...",,N1,"Charles Henry Peppiatt Ltd, Southgate",rightmove,https://www.rightmove.co.uk/properties/135045269#/?channel=RES_LET,2023-05-19 00:00:00,"rent3.01.0nan2496.0Essex Road, Islington, N1"
rent,"Ashley Road, London N17",1.0,,1.0,,,,1 bedroom flat to rent,,N17,NaN,omt,https://www.onthemarket.com/details/13231698/,2023-05-19,"rent1.01.0nan2050.0Ashley Road, London N17"
rent,"Hoxton Street, London N1",2.0,,1.0,,,,"The Flat is situated on Hoxton Street, which is known for it's wide variety of shops, market, restaurants, bars, and entertainment options. The ...",,N1,MK London Properties,zoopla,https://www.zoopla.co.uk/to-rent/details/64672915/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,2023-05-19 00:00:00,"rent2.01.0nan2496.0Hoxton Street, London N1"
rent,"Rossetti Road, London SE16",2.0,,1.0,,,,"A fantastic 2 bedroom property located in a private development in south Bermondsey close to shops, rail and local tube stations. This property ...",,SE16,JS Estate Management,zoopla,https://www.zoopla.co.uk/to-rent/details/64672896/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,2023-05-19 00:00:00,"rent2.01.0nan1911.0Rossetti Road, London SE16"
rent,"Camberwell New Road, London, SE5",2.0,,1.0,,,,"A well presented two double bedroom split level Victorian conversion flat with a private rear garden, stunning kitchen and four piece bathroom suite, close to Camberwell Green.- 13 foot reception... ** Property Reference: 1678722 **",,SE5,"OpenRent, London",rightmove,https://www.rightmove.co.uk/properties/134771735#/?channel=RES_LET,2023-05-19 00:00:00,"rent2.01.0nan1437.0Camberwell New Road, London, SE5"
rent,"Lombard Wharf, London SW11",3.0,,2.0,,,,3 bedroom flat to rent,,SW11,NaN,omt,https://www.onthemarket.com/details/13231722/,2023-05-19,"rent3.02.0nan1300.0Lombard Wharf, London SW11"
rent,"Stanhope Avenue, Harrow HA3",3.0,1.0,1.0,,,,"A well presented unfournished 3 bedroom house to let in a quiet residential street within walking distance to the High Road amenities, Homebase, ...",,HA3,Charringtons,zoopla,https://www.zoopla.co.uk/to-rent/details/64672881/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,2023-05-19 00:00:00,"rent3.01.0nan2100.0Stanhope Avenue, Harrow HA3"
sales,"Ferndale Road, Clapham",2.0,,1.0,675000.0,,,2 bedroom flat for sale,,Clapham,NaN,omt,https://www.onthemarket.com/details/13228831/,2023-05-19,"sales2.01.0675000.0nanFerndale Road, Clapham"
sales,"Kellett Road, London SW2",5.0,2.0,3.0,950000.0,,,**Estate sale - development opportunity STPP.**,,SW2,Winkworth - Herne Hill,zoopla,https://www.zoopla.co.uk/for-sale/details/64672593/?search_identifier=e2f52ecac4296f7263ce1d9f3bd364400246cf2a24ee664b466896f27c160137,2023-05-19 00:00:00,"sales5.03.0950000.0nanKellett Road, London SW2"
sales,"Hilldown Road, London SW16",4.0,3.0,1.0,1050000.0,,,"Nestling to the south of Streatham Common next to a protected conservation area of attractive Edwardian and Victorian houses, surrounded by ...",,SW16,Winkworth - Streatham,zoopla,https://www.zoopla.co.uk/for-sale/details/64672626/?search_identifier=e2f52ecac4296f7263ce1d9f3bd364400246cf2a24ee664b466896f27c160137,2023-05-19 00:00:00,"sales4.01.01050000.0nanHilldown Road, London SW16"
sales,"Chapel Street, Belgravia SW1X",6.0,,5.0,28000000.0,,,"A magnificent, exceptionally well presented six bedroom freehold town house situated in the heart of Belgravia, moments away from Knightsbridge.",,SW1X,"Rokstone, London",rightmove,https://www.rightmove.co.uk/properties/126734519#/?channel=RES_BUY,2019-10-25 00:00:00,"sales6.05.028000000.0nanChapel Street, Belgravia SW1X"
sales,"Rosedale Road, Romford",4.0,,2.0,600000.0,,,4 bedroom semi-detached house for sale,,Romford,NaN,omt,https://www.onthemarket.com/details/13227923/,2023-05-19,"sales4.02.0600000.0nanRosedale Road, Romford"
sales,"Lygon Place, Belgravia, SW1W",7.0,,9.0,45000000.0,,,"Ref. LOB0798 - Set behind a gated Belgravia driveway, Lygon Place is a magnificent Grade II listed 13,935 sq.ft mansion, with connecting mews house, was designed by David Collins Studio. With bespoke interiors, the seven bedroom mansion is the largest house on Lygon Place, and comprises four g...",,SW1W,"Beauchamp Estates Ltd, Mayfair - Resale",rightmove,https://www.rightmove.co.uk/properties/129302918#/?channel=RES_BUY,2022-11-21 00:00:00,"sales7.09.045000000.0nanLygon Place, Belgravia, SW1W"
sales,"Derwent Gardens, Redbridge IG4",3.0,1.0,1.0,580000.0,,,Sandra Davidson Estate Agents are pleased to present this charming three-bedroom home situated in a delightful neighbourhood in the heart of ...,,IG4,Sandra Davidson,zoopla,https://www.zoopla.co.uk/for-sale/details/64672341/?search_identifier=e2f52ecac4296f7263ce1d9f3bd364400246cf2a24ee664b466896f27c160137,2023-05-19 00:00:00,"sales3.01.0580000.0nanDerwent Gardens, Redbridge IG4"
sales,"Mayplace Road East, Bexleyheath, Kent DA7",3.0,,1.0,450000.0,,,"Maceys Estates Ltd are pleased to offer this 3 bed semi detached house, in a popular location close to local shops, Bexleyheath Town Centre, ...",,DA7,Maceys Estates Ltd,zoopla,https://www.zoopla.co.uk/for-sale/details/64672877/?search_identifier=e2f52ecac4296f7263ce1d9f3bd364400246cf2a24ee664b466896f27c160137,2023-05-19 00:00:00,"sales3.01.0450000.0nanMayplace Road East, Bexleyheath, Kent DA7"
sales,"Fulham Road, London, SW6",,,1.0,325000.0,,,Studio for sale,,SW6,NaN,omt,https://www.onthemarket.com/details/13221569/,2023-05-18,"salesnan1.0325000.0nanFulham Road, London, SW6"
sales,"Old Kent Road, London",2.0,,1.0,500000.0,,,2 bedroom flat for sale,,London,NaN,omt,https://www.onthemarket.com/details/13228188/,2023-05-19,"sales2.01.0500000.0nanOld Kent Road, London"
rent,"Eton College Road, Chalk Farm, NW3",1.0,,1.0,,,,"This wonderful one bedroom first floor floor apartment is in situated in the iconic period mansion block of Eton Rise and which is superbly located just moments from Chalk Farm underground station. This extremely spacious, newly refurbished apartment has a large, light and airy receptio...",,NW3,"Charles Henry Peppiatt Ltd, Southgate",rightmove,https://www.rightmove.co.uk/properties/134556986#/?channel=RES_LET,2023-05-19 00:00:00,"rent1.01.0nan2448.0Eton College Road, Chalk Farm, NW3"
rent,"Crossford Street, London, SW9",2.0,,2.0,,,,2 bedroom apartment to rent,,SW9,NaN,omt,https://www.onthemarket.com/details/13231781/,2023-05-19,"rent2.02.0nan2448.0Crossford Street, London, SW9"
sales,"Pitt Street, London, W8",7.0,,5.0,44000000.0,,,"A rare opportunity to own this unique, contemporary mansion in Kensington.",,W8,"Savills, Kensington",rightmove,https://www.rightmove.co.uk/properties/131846453#/?channel=RES_BUY,2023-02-20 00:00:00,"sales7.05.044000000.0nanPitt Street, London, W8"
sales,"Lowry Crescent, Mitcham CR4",1.0,1.0,1.0,250000.0,,,One double bedroom first floor flat with parking and loft storage located centrally for the amenities and transport links of Mitcham town.,,CR4,Barnard Marcus - Mitcham,zoopla,https://www.zoopla.co.uk/for-sale/details/64672456/?search_identifier=e2f52ecac4296f7263ce1d9f3bd364400246cf2a24ee664b466896f27c160137,2023-05-19 00:00:00,"sales1.01.0250000.0nanLowry Crescent, Mitcham CR4"
sales,"Briar Walk, London SW15",8.0,5.0,4.0,4600000.0,,,A magnificent detached eight bedroom period home in this enviable and highly sought after West Putney location. The property is well-presented ...,,SW15,Winkworth - Putney,zoopla,https://www.zoopla.co.uk/for-sale/details/64672613/?search_identifier=e2f52ecac4296f7263ce1d9f3bd364400246cf2a24ee664b466896f27c160137,2023-05-19 00:00:00,"sales8.04.04600000.0nanBriar Walk, London SW15"
rent,"Augustus Road, London SW19",,,,,,,Luxurious and stylishly studio apartments within a private gated delopment teaming with resident amenity spaces: Â€¢ A spectacular residents' ...,,SW19,John D Wood & Co. - Southfields Lettings,zoopla,https://www.zoopla.co.uk/to-rent/details/64672832/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,2023-05-19 00:00:00,"rentnannannan1733.0Augustus Road, London SW19"
sales,"Firs Lane, London N13",3.0,2.0,1.0,650000.0,,,A charming end-of-terrace house with potential for a side extension (subject to planning consent) situated on a popular residential road within ...,,N13,Winkworth - Palmers Green,zoopla,https://www.zoopla.co.uk/for-sale/details/64672610/?search_identifier=e2f52ecac4296f7263ce1d9f3bd364400246cf2a24ee664b466896f27c160137,2023-05-19 00:00:00,"sales3.01.0650000.0nanFirs Lane, London N13"
sales,"Upper Richmond Road, Putney",1.0,,1.0,585000.0,,,1 bedroom flat for sale,,Putney,NaN,omt,https://www.onthemarket.com/details/13228043/,2023-05-19,"sales1.01.0585000.0nanUpper Richmond Road, Putney"
sales,"Nevern Place, London SW5",,,1.0,450000.0,,,Studio for sale,,SW5,NaN,omt,https://www.onthemarket.com/details/13228128/,2023-05-19,"salesnan1.0450000.0nanNevern Place, London SW5"
rent,"Christchurch Avenue, North Finchley, N12",3.0,,1.0,,,,"This wonderful three double bedroom semi-detached family home is enviably located on a sought-after road, ideally located for highly regarded Ofted standard schools, North Finchley shopping facilities and West Finchley and Woodside Park underground stations. The property has undergone ma...",,N12,"Charles Henry Peppiatt Ltd, Southgate",rightmove,https://www.rightmove.co.uk/properties/134677262#/?channel=RES_LET,2023-05-19 00:00:00,"rent3.01.0nan1800.0Christchurch Avenue, North Finchley, N12"
rent,"Ashley Road, London N17",2.0,,1.0,,,,2 bedroom flat to rent,,N17,NaN,omt,https://www.onthemarket.com/details/13231699/,2023-05-19,"rent2.01.0nan3250.0Ashley Road, London N17"
rent,"Thomas Tower, Dalston Square, London E8",1.0,,1.0,,,,A modern apartment in the sought after Dalston Square development located just a minute from Dalston Junction station. The property offers a ...,,E8,Domeview Properties,zoopla,https://www.zoopla.co.uk/to-rent/details/29964227/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,2023-05-19 00:00:00,"rent1.01.0nan1800.0Thomas Tower, Dalston Square, London E8"
sales,"The Broadway, Ealing, W13",,,1.0,320000.0,,,Studio for sale,,W13,Rolfe East - Northfields,omt,https://www.onthemarket.com/details/12212830/,> 14 days,"salesnan1.0320000.01733.0The Broadway, Ealing, W13"
rent,"Knaresborough Place, London SW5",,1.0,1.0,,,,"Located on the second floor (with lift), this delightful studio apartment is neutrally presented and boasts a wealth of natural light as well as ...",,SW5,Farrar & Co,zoopla,https://www.zoopla.co.uk/to-rent/details/48570971/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,2023-05-19 00:00:00,"rentnan1.0nan1842.0Knaresborough Place, London SW5"
sales,"Regency Street, Westminster, London SW1P",2.0,,2.0,875000.0,,,"A bright and spacious two double bedroom, two bathroom (one en-suite) apartment in a portered building. Measuring over 900 sq ft, the flat ...",,SW1P,Bensons Ltd,zoopla,https://www.zoopla.co.uk/for-sale/details/64672870/?search_identifier=e2f52ecac4296f7263ce1d9f3bd364400246cf2a24ee664b466896f27c160137,2023-05-19 00:00:00,"sales2.02.0875000.0nanRegency Street, Westminster, London SW1P"
rent,"Gloucester Terrace, London, W2",3.0,,2.0,,,,3 bedroom duplex to rent,,W2,Savills - Notting Hill,omt,https://www.onthemarket.com/details/12548982/,> 14 days,"rent3.02.0nan2300.0Gloucester Terrace, London, W2"
sales,"Streatham Common North, Streatham",2.0,,1.0,450000.0,,,2 bedroom flat for sale,,Streatham,NaN,omt,https://www.onthemarket.com/details/13227873/,2023-05-19,"sales2.01.0450000.0nanStreatham Common North, Streatham"
rent,"Buckland Crescent, London NW3",1.0,,1.0,,,,1 bedroom flat to rent,,NW3,NaN,omt,https://www.onthemarket.com/details/13231802/,2023-05-19,"rent1.01.0nan2500.0Buckland Crescent, London NW3"
sales,"Curzon Street, London, W1J",1.0,,1.0,27800000.0,,,Incredible investment opportunity to acquire four state of the art apartments in the heart of Mayfair,,W1J,"DDRE.global, London",rightmove,https://www.rightmove.co.uk/properties/131770103#/?channel=RES_BUY,2023-02-17 00:00:00,"sales1.01.027800000.0nanCurzon Street, London, W1J"
rent,"North Gate, Prince Albert Road, St John's Wood, London, NW8",3.0,,2.0,,,,"A unique interior designed 3 bedroom (approx. 1,474 sq.ft./136.9 sq.m.) on the 3rd floor of this prestige portered block located directly opposite Regent's Park. The flat is of spacious proportions and enjoys high ceilings and excellent views. North Gate is a highly sought after red brick E...",,NW8,"Behr and Butchoff, St John's Wood",rightmove,https://www.rightmove.co.uk/properties/132301082#/?channel=RES_LET,2023-05-19 00:00:00,"rent3.02.0nan1466.0North Gate, Prince Albert Road, St John's Wood, London, NW8"
sales,"One Hyde Park, Knightsbridge",5.0,,5.0,60000000.0,,,"An exceptional exclusive five bedroom apartment for sale in this much sought after development in Knightsbridge. The entire floor is approximately 9,000 sq. ft. and designed to the highest specifications with stunning views over Knightsbridge and Hyde park.",,Knightsbridge,"The Cloister, London",rightmove,https://www.rightmove.co.uk/properties/130177625#/?channel=RES_BUY,2022-12-22 00:00:00,"sales5.05.060000000.0nanOne Hyde Park, Knightsbridge"
sales,"Westmoreland Road, Bromley",3.0,,1.0,425000.0,,,3 bedroom flat for sale,,Bromley,NaN,omt,https://www.onthemarket.com/details/13229069/,2023-05-19,"sales3.01.0425000.0nanWestmoreland Road, Bromley"
sales,"Princes Gate, Kensington, London, SW7",7.0,,5.0,30000000.0,,,"An elegant fronted house providing over 9,000 sq.ft. of stylish and luxurious rooms. This property is in immaculate and pristine condition, offering spacious rooms over its seven floors, with the benefit of a lift serving all the main floors. Currently, the lower ground floor consists of a recept...",,SW7,"Parkes Estate Agents, Kensington",rightmove,https://www.rightmove.co.uk/properties/134155481#/?channel=RES_BUY,2022-10-17 00:00:00,"sales7.05.030000000.0nanPrinces Gate, Kensington, London, SW7"
sales,"Belgravia Gate, Grosvenor Crescent, Belgravia, London, SW1X",6.0,,7.0,43700000.0,,,"Belgravia Gate benefits from a truly world-class location and is one of the most desirable addresses in Europe. A 2nd-floor lateral apartment providing grand entertaining space and 6-bedrooms. Located on the second floor of Belgravia Gate on Grosvenor Crescent the apartment forms part of five, G...",,SW1X,"Knight Frank - New Homes, Prime Central London Developments",rightmove,https://www.rightmove.co.uk/properties/134329280#/?channel=RES_BUY,2023-02-05 00:00:00,"sales6.07.043700000.0nanBelgravia Gate, Grosvenor Crescent, Belgravia, London, SW1X"
rent,"Ascham End, London, E17",2.0,,1.0,,,,"Modernised trendy apartment for 1-2 occupants This trendy apartment is is over 530 ft2 (50 m2) and has access to a garden, private parking and wifi. 1-2 occupants can apply for it, not more and i... ** Property Reference: 1689405 **",,E17,"OpenRent, London",rightmove,https://www.rightmove.co.uk/properties/134098310#/?channel=RES_LET,2023-05-19 00:00:00,"rent2.01.0nan1842.0Ascham End, London, E17"
rent,"Weirdale Avenue, London N20",3.0,1.0,1.0,,,,Andrew Lloyd Estates are pleased to offer this newly refurbished spacious 3 Bedroom House. The property is ideally located moments away from New ...,,N20,Andrew Lloyd Estates Ltd,zoopla,https://www.zoopla.co.uk/to-rent/details/64672845/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,2023-05-19 00:00:00,"rent3.01.0nan2050.0Weirdale Avenue, London N20"
sales,"One Hyde Park, Knightsbridge",3.0,,3.0,30000000.0,,,"The Cloister are pleased to present this stunning three bedroom apartment located in Knightsbridge, One Hyde Park, a prestigious and much sought-after location.",,Knightsbridge,"The Cloister, London",rightmove,https://www.rightmove.co.uk/properties/134381060#/?channel=RES_BUY,2022-12-22 00:00:00,"sales3.03.030000000.0nanOne Hyde Park, Knightsbridge"
sales,"Warwick Square, London SW1V",2.0,1.0,2.0,1200000.0,,,A wonderfully light two bedroom apartment with far reaching views is presented to the market in Pimlico SW1.,,SW1V,Jackson-Stops - Pimlico,zoopla,https://www.zoopla.co.uk/for-sale/details/64672528/?search_identifier=e2f52ecac4296f7263ce1d9f3bd364400246cf2a24ee664b466896f27c160137,2023-05-19 00:00:00,"sales2.02.01200000.0nanWarwick Square, London SW1V"
sales,"Fox Hill, Crystal Palace",2.0,,1.0,550000.0,,,2 bedroom flat for sale,,Palace,NaN,omt,https://www.onthemarket.com/details/13228378/,2023-05-19,"sales2.01.0550000.0nanFox Hill, Crystal Palace"
